Property Name,Location,BHK,Price,Status,Possession,Description
Trinity Sky Palazzo Residences,"Sector 88B, Gurgaon","3, 4 BHK Apartment",₹ 5.6 - 7.4 Cr,New Launch,Oct 2029,"Check out 3,4 BHK apartments in Sector 88B, now available for sale at Trinity Sky Palazzo Residences. Trinity Sky Palazzo Residences is a RERA- registered society and GGM/921/653/2025/24DATED04.03.2025 is the RERA registration number. Apartment prices in this housing society vary in the ra"
Godrej Vrikshya,"Sector 103, Gurgaon","3, 4 BHK Apartment",₹ 4.88 - 7.22 Cr,New Launch,Jun 2031,"Here are beautifully built 3,4 BHK apartments in Sector 103, available for sale at Godrej Vrikshya. The housing society is RERA-registered with GGM/846/578/2024/73 DATED 01.07.2024 registration number. Prices of apartments in this project, vary between Rs. 4.88 - 7.22 Cr. Godrej Vrikshya h"
Brigade Eternia,"Yelahanka, Bangalore North","1, 3, 4 BHK Apartment",₹ 1.01 - 4.37 Cr,New Launch,Mar 2030,"Looking for your dream home? Explore 1,3,4 BHK apartments in Yelahanka, now available in Brigade Eternia. This society is RERA approved and PRM/KA/RERA/1251/309/PR/070325/007559 is the RERA number. Brigade Eternia apartments are available in multiples sizes, ranging from 700 - 2,926 sq.ft."
Prestige Southern Star,"Begur Road, Bangalore South","1, 2, 3, 4 BHK Apartment",₹ 78.78 L - 3.14 Cr,New Launch,Sep 2029,"Prestige Southern Star, one of the known housing societes in Bangalore South, brings classic yet modern 1,2,3,4 BHK apartments in Begur Road. Prestige Southern Star apartments are available in multiples sizes, ranging from 695 - 2,774 sq.ft. SUPER area. The housing society is RERA-register"
Nyati Emerald,"Baner, Pune West","2, 3 BHK Apartment",₹ 1.15 - 1.65 Cr,Under Construction,Feb 2027,"Choose your dream home from the wide variety of 2,3 BHK apartments in Baner, available for sale in Nyati Emerald. Nyati Emerald is a RERA- registered society and P52100051235 is the RERA registration number. Prices of apartments in this project, vary between Rs. 1.15 - 1.65 Cr. Apartments"
ASBL Landmark,"Kukatpally, Hyderabad","3, 4 BHK Apartment",₹ 2.2 - 3.42 Cr,New Launch,Mar 2028,"ASBL Landmark, one of the known housing societes in Hyderabad, brings classic yet modern 3,4 BHK apartments in Kukatpally. ASBL Landmark apartments are available in multiples sizes, ranging from 1,645 - 2,860 sq.ft. SUPER area. This society is RERA approved and P02200008770 is the RERA num"
4S The Aurrum,"Sector 59, Gurgaon","3, 4 BHK Apartment",₹ 5.3 - 7.84 Cr,New Launch,Oct 2030,"Check out 3,4 BHK apartments in Sector 59, now available for sale at 4S The Aurrum. 4S The Aurrum apartments are available in multiples sizes, ranging from 2,407 - 3,562 sq.ft. SUPER area. Apartments in this complex are available in price range of Rs. 5.3 - 7.84 Cr. 4S The Aurrum 's RERA r"
Smart World Gems,"Sector 89, Gurgaon","2, 3 BHK Independent Floor",₹ 1.36 - 1.81 Cr,Under Construction,Sep 2025,"Check out beautifully designed 2,3 BHK Independent Floor in Smart World Gems, coming up in Sector 89. Independent Floor prices in Smart World Gems vary in Rs. 1.36 - 1.81 Cr. These Independent Floor are Under Construction. Smart World Gems offers Independent Floor in the size range of 1,06"
Sarang by Sumadhura Phase 2,"Whitefield, Bangalore East","3, 4 BHK Apartment",₹ 1.73 - 2.75 Cr,New Launch,Dec 2026,"Finest 3,4 BHK apartments in Whitefield available for sale in Sarang by Sumadhura Phase 2. Sarang by Sumadhura Phase 2 has apartments in multiple configurations, in range of 1,655 - 2,580 sq.ft.. Prices of apartments in this project, vary between Rs. 1.73 - 2.75 Cr. Sarang by Sumadhura Pha"
Casagrand Massimo,"Kundrathur, Chennai South","2, 3, 4 BHK Apartment",₹ 55 L - 1.28 Cr,New Launch,Apr 2027,"Casagrand Massimo society now offers elegantly built 2,3,4 BHK apartments in Kundrathur. Apartment prices in this housing society vary in the range of Rs. 55 L - 1.28 Cr. Casagrand Massimo has apartments in multiple configurations, in range of 705 - 1,827 sq.ft.. The housing society is RER"
Lodha Azur,"Bannerghatta Road, Bangalore South","3, 4 BHK Apartment",₹ 2.3 - 3.6 Cr,Under Construction,Apr 2028,"Lodha Azur society now offers elegantly built 3,4 BHK apartments in Bannerghatta Road. Prices of apartments in this project, vary between Rs. 2.3 - 3.6 Cr. Apartments in Lodha Azur have CARPET area ranging between 1,265 - 1,983 sq.ft.. Lodha Azur is a RERA- registered society and PRM/KA/RE"
Assetz Ren and Rei,"Hosa Road, Bangalore South",3 BHK Apartment,₹ 1.89 - 1.92 Cr,New Launch,Jan 2029,Assetz Ren and Rei society now offers elegantly built 3 BHK apartments in Hosa Road. This society is RERA approved and PRM/KA/RERA/1251/446/PR/130225/007501 is the RERA number. This society offers apartments in the price range of Rs. 1.89 - 1.92 Cr. Assetz Ren and Rei has apartments in mul
Krisumi Waterside Residences,"Sector 36A, Gurgaon","2, 3, 4 BHK Apartment",₹ 4.18 - 18.12 Cr,New Launch,Oct 2029,"Beautiful 2,3,4 BHK apartments in Sector 36A, are now available in Krisumi Waterside Residences housing project. Krisumi Waterside Residences apartments are available in multiples sizes, ranging from 956.8 - 3,921.4 sq.ft. CARPET area. Apartments in this complex are available in price rang"
Sobha Altus,"Sector 106, Gurgaon","3, 4, 5 BHK Apartment | 1 RK Studio Apartment",₹ 1.76 - 9.79 Cr,New Launch,Dec 2028,"For Multiple: Sobha Altus offers beautifully designed 3 BHK Apartment, 4 BHK Apartment and 5 BHK Apartment in Sector 106, Gurgaon. Property options in Sobha Altus varies between 677.69 - 4,077.52 sq.ft.. Prices here start from Rs. 1.76 Cr. Swimming Pool, Gymnasium and Club House are some o"
Brigade El Dorado,"Bagalur, Bangalore North","1, 2, 3 BHK Apartment",₹ 49 L - 1.77 Cr,Partially Ready To Move,₹ 9423 / Sq.Ft. Sep 2024,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Bagalur, available for sale in Brigade El Dorado. Here units have different sizes, mostly in range of 520.97 - 1,561.41 sq.ft. SUPER area. This society offers apartments in the price range of Rs. 49 L - 1.77 Cr. This s"
Embassy Verde,"Devanahalli, Bangalore North","1, 2, 3 BHK Apartment",₹ 59.89 L - 1.34 Cr,New Launch,Dec 2030,"Finest 1,2,3 BHK apartments in Devanahalli available for sale in Embassy Verde. This society offers apartments in the price range of Rs. 59.89 L - 1.34 Cr. This society is RERA approved and PRM/KA/RERA/1250/303/PR/101224/007284 is the RERA number. Embassy Verde apartments are available in"
Nirala Estate,"Techzone 4 Greater Noida West, Greater Noida","2, 3, 4 BHK Apartment",₹ 95.5 L - 2.78 Cr,Partially Ready To Move,₹ 10000 / Sq.Ft. Nov 2023,"Looking for your dream home? Explore 2,3,4 BHK apartments in Techzone 4 Greater Noida West, now available in Nirala Estate. The housing society is RERA-registered with UPRERAPRJ788191 registration number. Prices of apartments in this project, vary between Rs. 95.5 L - 2.78 Cr. Apartments i"
Godrej Avenue Eleven,"Mahalaxmi, Mumbai South",4 BHK Apartment,₹ 12.78 - 15.43 Cr,Under Construction,₹ 53000 / Sq.Ft. Dec 2028,"Godrej Avenue Eleven, one of the known housing societes in Mumbai South, brings classic yet modern 4 BHK apartments in Mahalaxmi. Godrej Avenue Eleven 's RERA registration number is P51900005216. This society offers apartments in the price range of Rs. 12.78 - 15.43 Cr. Godrej Avenue Eleve"
VVIP Addresses Greater Noida,"Sector-12, Greater Noida","3, 4 BHK Apartment",₹ 3.41 - 5.34 Cr,New Launch,Sep 2029,"Choose your dream home from the wide variety of 3,4 BHK apartments in Sector-12, available for sale in VVIP Addresses Greater Noida. Apartments in this complex are available in price range of Rs. 3.41 - 5.34 Cr. Apartments in VVIP Addresses Greater Noida have CARPET area ranging between 1,"
GGANBU Street Drive 93,"Sector 93, Gurgaon",Shop,₹ 72 L - 1.45 Cr,New Launch,Jun 2028,"If you are looking for investment options in Gurgaon, check out shops for sale in Sector 93 in GGANBU Street Drive 93, one of the latest projects in the city. Starting shop prices in Gurgaon are Rs. 72 L onwards. This is a New Launch project.The possession date is Jun, 2028"
RLV Octavia,"Sushant Golf City, Lucknow",Bare shell Office Space | Shop,₹ 1.05 - 2.79 Cr,New Launch,Nov 2027,"Check out the latest investment options in RLV Octavia, offering Bare shell Office Space and Shop for sale in Sushant Golf City, Lucknow. This project is constructed by RLV Ventures. Some of the facilities offered here includes Car Parking, Gated Community and Internal Street Lights. The s"
R Sandesh Arcade,"Manish Nagar, Nagpur",Bare shell Office Space | Shop,₹ 21.98 L - 1.63 Cr,New Launch,Dec 2029,"Check out this new investment opportunity in R Sandesh Arcade: Bare shell Office Space and Shop for sale in Manish Nagar, Nagpur. This project is New Launch .It is available from Dec, 2029. This location is close to Connnectivity, Bank and Connnectivity. The construction of this project is"
Tescon Plan I Business Park,"Nerul, Navi Mumbai",Bare shell Office Space | Shop,₹ 54.42 L - 9.2 Cr,New Launch,Dec 2026,"Looking for investment options Navi Mumbai ? Check out Bare shell Office Space and Shop for sale in Nerul, Navi Mumbai. This location is close to Highway, Connnectivity and Connnectivity. The starting price here are around Rs. 54.42 L. This complex is right now New Launch .It will be avail"
Ekatva The Olive,"Wagle Industrial Estate, Thane",Bare shell Office Space,₹ 1.59 - 3.95 Cr,New Launch,Dec 2028,"Invest in Ekatva The Olive Bare shell Office Space in Wagle Industrial Estate, one of the latest offerings in Thane real estate market.  Investment in Bare shell Office Space starts at Rs. 1.59 Cr onwards. This project is New Launch.Dec, 2028 is the delivery date for this project. Built by"
Girija Surendra Plaza,"Hoshangabad Road, Bhopal",Bare shell Office Space | Shop,₹ 35 L,New Launch,May 2026,"Looking for investment options Bhopal ? Check out Bare shell Office Space and Shop for sale in Hoshangabad Road, Bhopal. Girija Colonisers Bhopal is the builder of Girija Surendra Plaza. The facilities available here are top-notch and unique, such as Shopping Centre, Car Parking and Gated"
Fenkin 9,"Wagle Estate, Thane",Bare shell Office Space | Shop,₹ 59.84 L - 2.83 Cr,Under Construction,Jun 2025,"Looking for investment options Thane ? Check out Bare shell Office Space and Shop for sale in Wagle Estate, Thane. Wagle Estate is a strategic location to invest as it is close to Connnectivity, Bank and OfficeComplex. This complex is right now Under Construction .It will be available from"
Parksyde House,"College Road, Nashik",Bare shell Office Space,Price on Request,New Launch,Apr 2026,"Check out these Bare shell Office Space for sale in College Road, Nashik, in Parksyde House. This project is New Launch.Apr, 2026 is the delivery date for this project. The property is close to Connnectivity, Connnectivity and Connnectivity. Jaikumar Constructions has created this project"
The Platinum Mall by Parksyde,"Panchvati, Nashik",Bare shell Office Space,₹ 25 L,New Launch,May 2028,"Check out these Bare shell Office Space for sale in Panchvati, Nashik, in The Platinum Mall by Parksyde. Property prices here starts from Rs. 25 L. Jaikumar Constructions has created this project with extreme craft and intelligence. The facilities offered here are the best in class, which"
Splendor Onyx Blue,"Sector 142, Noida",Bare shell Office Space,₹ 23.7 L - 1.06 Cr,New Launch,Jun 2030,"If you are looking for Bare shell Office Space for sale in Sector 142, Noida, your search ends here at Splendor Onyx Blue. Here the Bare shell Office Space price range starts from Rs. 23.7 L. Currently, the project is New Launch.The project will be ready for possession around Jun, 2030"
Swarnim Business Center,"Vaishnodevi Circle, Ahmedabad North",Bare shell Office Space | Shop,Price on Request,New Launch,Jun 2027,"Check out the latest investment options in Swarnim Business Center, offering Bare shell Office Space and Shop for sale in Vaishnodevi Circle, Ahmedabad North. This project is New Launch .It is available from Jun, 2027. This project is constructed by Golden Projects. Some of the facilities"
RGI Grand Carnival,"Aerocity, Mohali",Bare shell Office Space | Showroom,Price on Request,New Launch,Dec 2030,"RGI Grand Carnival brings you the opportunity to invest in Bare shell Office Space and Showroom in Aerocity, Mohali. Aerocity is a strategic location to invest as it is close to Connnectivity, Connnectivity and Connnectivity. Investors may find this project extremely lucrative as it is New"
Imprint Jangid Elysium,"Borivali East, Western Mumbai",Bare shell Office Space | Showroom,₹ 1.07 - 1.62 Cr,New Launch,Dec 2025,"Imprint Jangid Elysium brings you the opportunity to invest in Bare shell Office Space and Showroom in Borivali East, Western Mumbai. This location is close to Connnectivity, Connnectivity and Connnectivity. This complex is right now New Launch .It will be available from Dec, 2025. The sta"
Intellia Business Park,"Park Circus, Kolkata South",Bare shell Office Space,₹ 2 Cr,New Launch,₹ 6828 / Sq.Ft. Jun 2028,"Here is the best Bare shell Office Space for sale in Park Circus, Kolkata South, in Intellia Business Park. Property prices here starts from Rs. 2 Cr. Srijan Realty has created this project with extreme craft and intelligence. The facilities offered here are the best in class, which includ"
Signature DXP Luxuria,"Sector 37D, Gurgaon",Shop,Price on Request,New Launch,Mar 2031,"A brand-new shop for sale in Sector 37D, Gurgaon is now available in Signature DXP Luxuria. Buying a commercial property in a New Launch project has its own benefits. . This project is close to Highway, Connnectivity and Connnectivity. Signature DXP Luxuria is also registered with RERA"
Bramha Sky Uzuri,"Pimpri Chinchwad, Pune North",Ready to move Office Space | Shop,₹ 47.03 L - 4.49 Cr,Partially Ready To Move,₹ 18469 / Sq.Ft. Jul 2022,"Bramha Sky Uzuri brings you the opportunity to invest in Ready to move Office Space and Shop in Pimpri Chinchwad, Pune North. The construction of this project is being led by Bramha Realty and Infrastructure. Grade A Building are some of the most useful facilities available in this project"
Emperia The Capital,"Nerul, Navi Mumbai",Ready to move Office Space,₹ 67 - 84 L,New Launch,Dec 2029,"Invest in Emperia The Capital Ready to move Office Space in Nerul, one of the latest offerings in Navi Mumbai real estate market. It is New Launch project .The possession will be offered around Dec, 2029. This project is owned by Emperia Lifespace. The property comes with some of the most-"
Solitaire Business Hub 3,"Baner, Pune West",Bare shell Office Space | Shop,₹ 90 L - 17.46 Cr,Under Construction,₹ 15845 / Sq.Ft. Dec 2025,"Solitaire Business Hub 3 brings you the opportunity to invest in Bare shell Office Space and Shop in Baner, Pune West. The starting price here are around Rs. 90 L. Baner Land Developers is the builder of Solitaire Business Hub 3. The facilities available here are top-notch and unique, such"
Godrej Horizon,"Wadala, Mumbai South","2, 3, 4 BHK Apartment",₹ 2.99 - 7.76 Cr,Under Construction,May 2028,"Spacious 2,3,4 BHK apartments in Wadala are available for sale.Check out latest property options at Godrej Horizon housing society. This society is RERA approved and P51900034851 is the RERA number. This society offers apartments in the price range of Rs. 2.99 - 7.76 Cr. Godrej Horizon has"
