Property Name,Location,BHK,Price,Status,Possession,Description
Universal Square by Auric Group,"Sector 79, Faridabad",SCO Plots,₹ 47.5 L - 31.44 Cr,New Launch,Jun 2027,"The starting price here are around Rs. 47.5 L. The construction of this project is being led by Auric Group. Amphitheatre, Car Parking and Internal Street Lights are some of the most useful facilities available in this project. This location is close to Connnectivity, Connnectivity and Met"
O22 Business Park,"Wagle Estate, Thane",Bare shell Office Space | Shop,₹ 1.14 - 4.67 Cr,New Launch,Dec 2026,"Check out the latest investment options in O22 Business Park, offering Bare shell Office Space and Shop for sale in Wagle Estate, Thane. This project is constructed by Nagrik Group, Parmar Group and RG Ventures. Some of the facilities offered here includes Restaurant, Conference Room and C"
Ace YXP,"Sector 22D Yamuna Expressway, Greater Noida",Shop,₹ 1 - 1.6 Cr,New Launch,Mar 2027,"A commercial shop for sale in Sector 22D Yamuna Expressway, Greater Noida, is now on offer at Ace YXP. This is a New Launch project.The possession date is Mar, 2027. Shops for sale in Sector 22D Yamuna Expressway are available at Rs. 1 Cr onwards. This project is the brainchild of ACE Grou"
Yojit Ace Signature IT Park,"Wagle Estate, Thane",Bare shell Office Space | Shop,₹ 80 L - 1.54 Cr,New Launch,Dec 2027,"Check out the latest investment options in Yojit Ace Signature IT Park, offering Bare shell Office Space and Shop for sale in Wagle Estate, Thane. This complex is right now New Launch .It will be available from Dec, 2027. Yojit Builder is the builder of Yojit Ace Signature IT Park. The fac"
Aarize The Tessoro,"Sector 114, Gurgaon",Shop,₹ 60 L,New Launch,Feb 2029,"If you are looking for investment options in Gurgaon, check out shops for sale in Sector 114 in Aarize The Tessoro, one of the latest projects in the city. Aarize The Tessoro is owned by Aarize Realtech LLP. There are several facilities available here such as Gaming Zones, Restaurant and F"
The Omaxe State,"Sector 19B Dwarka, Delhi South West",Shop,₹ 80 L,New Launch,Mar 2029,"If you are looking for investment options in Delhi South West, check out shops for sale in Sector 19B Dwarka in The Omaxe State, one of the latest projects in the city. Starting shop prices in Delhi South West are Rs. 80 L onwards. Being a New Launch project, this can be a perfect investme"
Saptashree Global Tech Center,"Wagle Industrial Estate, Thane",Bare shell Office Space,₹ 1.01 - 2.91 Cr,New Launch,Dec 2028,"If you are looking for Bare shell Office Space for sale in Wagle Industrial Estate, Thane, your search ends here at Saptashree Global Tech Center. Built by Sapta Shree Builders and Developers, this is one of the popular projects to invest in Bare shell Office Space. Some of the exclusive f"
Global City Walk,"Raj Nagar Extension, Ghaziabad",Shop,₹ 58.08 - 69.96 L,New Launch,May 2027,"If you are looking for investment options in Ghaziabad, check out shops for sale in Raj Nagar Extension in Global City Walk, one of the latest projects in the city. Global City Walk is a New Launch right now, which means it is perfect for investment. Shops for sale in Raj Nagar Extension a"
Trogon Twin Towers,"Vaishnodevi Circle, Ahmedabad North",Bare shell Office Space | Shop,₹ 65 L - 1.64 Cr,New Launch,Mar 2027,"Trogon Twin Towers brings you the opportunity to invest in Bare shell Office Space and Shop in Vaishnodevi Circle, Ahmedabad North. The starting price here are around Rs. 65 L. This project is constructed by Trogon Group. Some of the facilities offered here includes Gymnasium, Creche/Day C"
Wyng,"Somwar Peth, Pune Central",Bare shell Office Space,₹ 1.18 - 9.87 Cr,New Launch,Dec 2029,"Check out these Bare shell Office Space for sale in Somwar Peth, Pune Central, in Wyng. This project is owned by Kundan Spaces. The property comes with some of the most-demanded amenities such as Gymnasium, Restaurant and Cafeteria. Currently, the project is New Launch.The project will be"
